Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.0005984653,0.0001279656,0.0004823643,0.0007619836,0.0002701824,0.0004070514,0.000157372,0.0001207191,0.0000173263,4.3399184E-6,0.0000184455,0.0000402993,0.0000128367,0.0000225786,0.0000145715,0.0000131003
21,0.0005984653,0.0001279656,0.0004823643,0.0007619836,0.0002701824,0.0004070514,0.000157372,0.0001207191,0.0000173263,4.3399184E-6,0.0000184455,0.0000402993,0.0000128367,0.0000225786,0.0000145715,0.0000131003
22,0.0005984653,0.0001279656,0.0004823643,0.0007619836,0.0002701824,0.0004070514,0.000157372,0.0001207191,0.0000173263,4.3399184E-6,0.0000184455,0.0000402993,0.0000128367,0.0000225786,0.0000145715,0.0000131003
23,0.0005984653,0.0001279656,0.0004823643,0.0007619836,0.0002701824,0.0004070514,0.000157372,0.0001207191,0.0000173263,4.3399184E-6,0.0000184455,0.0000402993,0.0000128367,0.0000225786,0.0000145715,0.0000131003
24,0.0005984653,0.0001279656,0.0004823643,0.0007619836,0.0002701824,0.0004070514,0.000157372,0.0001207191,0.0000173263,4.3399184E-6,0.0000184455,0.0000402993,0.0000128367,0.0000225786,0.0000145715,0.0000131003
25,0.0011049949,0.0002554352,0.0008051605,0.0017332443,0.0005238605,0.0008459038,0.0003443727,0.0002870432,0.0000242215,6.2246829E-6,0.0000244476,0.0000660028,0.0000182159,0.000034027,0.0000218087,0.0000203434
26,0.0011049949,0.0002554352,0.0008051605,0.0017332443,0.0005238605,0.0008459038,0.0003443727,0.0002870432,0.0000242215,6.2246829E-6,0.0000244476,0.0000660028,0.0000182159,0.000034027,0.0000218087,0.0000203434
27,0.0011049949,0.0002554352,0.0008051605,0.0017332443,0.0005238605,0.0008459038,0.0003443727,0.0002870432,0.0000242215,6.2246829E-6,0.0000244476,0.0000660028,0.0000182159,0.000034027,0.0000218087,0.0000203434
28,0.0011049949,0.0002554352,0.0008051605,0.0017332443,0.0005238605,0.0008459038,0.0003443727,0.0002870432,0.0000242215,6.2246829E-6,0.0000244476,0.0000660028,0.0000182159,0.000034027,0.0000218087,0.0000203434
29,0.0011049949,0.0002554352,0.0008051605,0.0017332443,0.0005238605,0.0008459038,0.0003443727,0.0002870432,0.0000242215,6.2246829E-6,0.0000244476,0.0000660028,0.0000182159,0.000034027,0.0000218087,0.0000203434
30,0.0003887834,0.0003899173,0.0006589116,0.0009894023,0.0004169089,0.0005305006,0.0002223443,0.0001397122,6.1691252E-6,7.4714699E-6,0.0000141025,0.0000289498,0.0000110509,0.0000175965,0.000010209,8.2270084E-6
31,0.0003887834,0.0003899173,0.0006589116,0.0009894023,0.0004169089,0.0005305006,0.0002223443,0.0001397122,6.1691252E-6,7.4714699E-6,0.0000141025,0.0000289498,0.0000110509,0.0000175965,0.000010209,8.2270084E-6
32,0.0003887834,0.0003899173,0.0006589116,0.0009894023,0.0004169089,0.0005305006,0.0002223443,0.0001397122,6.1691252E-6,7.4714699E-6,0.0000141025,0.0000289498,0.0000110509,0.0000175965,0.000010209,8.2270084E-6
33,0.0003887834,0.0003899173,0.0006589116,0.0009894023,0.0004169089,0.0005305006,0.0002223443,0.0001397122,6.1691252E-6,7.4714699E-6,0.0000141025,0.0000289498,0.0000110509,0.0000175965,0.000010209,8.2270084E-6
34,0.0003887834,0.0003899173,0.0006589116,0.0009894023,0.0004169089,0.0005305006,0.0002223443,0.0001397122,6.1691252E-6,7.4714699E-6,0.0000141025,0.0000289498,0.0000110509,0.0000175965,0.000010209,8.2270084E-6
35,0.0006618957,0.0006350749,0.0011150812,0.0015530722,0.0006910408,0.0007990094,0.0004180699,0.0002482794,8.032715E-6,9.4794275E-6,0.0000179784,0.0000364427,0.0000139065,0.0000215068,0.0000146873,0.0000113268
36,0.0006618957,0.0006350749,0.0011150812,0.0015530722,0.0006910408,0.0007990094,0.0004180699,0.0002482794,8.032715E-6,9.4794275E-6,0.0000179784,0.0000364427,0.0000139065,0.0000215068,0.0000146873,0.0000113268
37,0.0006618957,0.0006350749,0.0011150812,0.0015530722,0.0006910408,0.0007990094,0.0004180699,0.0002482794,8.032715E-6,9.4794275E-6,0.0000179784,0.0000364427,0.0000139065,0.0000215068,0.0000146873,0.0000113268
38,0.0006618957,0.0006350749,0.0011150812,0.0015530722,0.0006910408,0.0007990094,0.0004180699,0.0002482794,8.032715E-6,9.4794275E-6,0.0000179784,0.0000364427,0.0000139065,0.0000215068,0.0000146873,0.0000113268
39,0.0006618957,0.0006350749,0.0011150812,0.0015530722,0.0006910408,0.0007990094,0.0004180699,0.0002482794,8.032715E-6,9.4794275E-6,0.0000179784,0.0000364427,0.0000139065,0.0000215068,0.0000146873,0.0000113268
40,0.0005240947,0.0004118791,0.0008574747,0.0010827987,0.0006079984,0.0007160585,0.0003635518,0.0002046285,4.6824851E-6,4.7314262E-6,9.930026E-6,0.0000194689,9.2884185E-6,0.0000150556,9.3988251E-6,7.2376627E-6
