Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.0009256104,0.0009592549,0.0016920036,0.0032208046,0.0004242929,0.0007031929,0.0006511513,0.0004505847,0.0000259171,0.0000466357,0.0000633279,0.0001761683,0.0000288052,0.0000579314,0.000050535,0.0000679096
21,0.0009256104,0.0009592549,0.0016920036,0.0032208046,0.0004242929,0.0007031929,0.0006511513,0.0004505847,0.0000259171,0.0000466357,0.0000633279,0.0001761683,0.0000288052,0.0000579314,0.000050535,0.0000679096
22,0.0009256104,0.0009592549,0.0016920036,0.0032208046,0.0004242929,0.0007031929,0.0006511513,0.0004505847,0.0000259171,0.0000466357,0.0000633279,0.0001761683,0.0000288052,0.0000579314,0.000050535,0.0000679096
23,0.0009256104,0.0009592549,0.0016920036,0.0032208046,0.0004242929,0.0007031929,0.0006511513,0.0004505847,0.0000259171,0.0000466357,0.0000633279,0.0001761683,0.0000288052,0.0000579314,0.000050535,0.0000679096
24,0.0009256104,0.0009592549,0.0016920036,0.0032208046,0.0004242929,0.0007031929,0.0006511513,0.0004505847,0.0000259171,0.0000466357,0.0000633279,0.0001761683,0.0000288052,0.0000579314,0.000050535,0.0000679096
25,0.0026172432,0.00269198,0.0050368894,0.0086620124,0.0013079122,0.0020403524,0.0017552774,0.0008947325,0.0000446846,0.0000788636,0.0001119852,0.0003123204,0.0000513823,0.0001033536,0.0000839419,0.000096232
26,0.0026172432,0.00269198,0.0050368894,0.0086620124,0.0013079122,0.0020403524,0.0017552774,0.0008947325,0.0000446846,0.0000788636,0.0001119852,0.0003123204,0.0000513823,0.0001033536,0.0000839419,0.000096232
27,0.0026172432,0.00269198,0.0050368894,0.0086620124,0.0013079122,0.0020403524,0.0017552774,0.0008947325,0.0000446846,0.0000788636,0.0001119852,0.0003123204,0.0000513823,0.0001033536,0.0000839419,0.000096232
28,0.0026172432,0.00269198,0.0050368894,0.0086620124,0.0013079122,0.0020403524,0.0017552774,0.0008947325,0.0000446846,0.0000788636,0.0001119852,0.0003123204,0.0000513823,0.0001033536,0.0000839419,0.000096232
29,0.0026172432,0.00269198,0.0050368894,0.0086620124,0.0013079122,0.0020403524,0.0017552774,0.0008947325,0.0000446846,0.0000788636,0.0001119852,0.0003123204,0.0000513823,0.0001033536,0.0000839419,0.000096232
30,0.0053442396,0.0018305818,0.0053958393,0.0091266351,0.0012722407,0.0014956369,0.0028640496,0.0006085771,0.0000567023,0.0000339378,0.0000720079,0.0002099418,0.0000304911,0.0000523064,0.0000935657,0.0000388918
31,0.0053442396,0.0018305818,0.0053958393,0.0091266351,0.0012722407,0.0014956369,0.0028640496,0.0006085771,0.0000567023,0.0000339378,0.0000720079,0.0002099418,0.0000304911,0.0000523064,0.0000935657,0.0000388918
32,0.0053442396,0.0018305818,0.0053958393,0.0091266351,0.0012722407,0.0014956369,0.0028640496,0.0006085771,0.0000567023,0.0000339378,0.0000720079,0.0002099418,0.0000304911,0.0000523064,0.0000935657,0.0000388918
33,0.0053442396,0.0018305818,0.0053958393,0.0091266351,0.0012722407,0.0014956369,0.0028640496,0.0006085771,0.0000567023,0.0000339378,0.0000720079,0.0002099418,0.0000304911,0.0000523064,0.0000935657,0.0000388918
34,0.0053442396,0.0018305818,0.0053958393,0.0091266351,0.0012722407,0.0014956369,0.0028640496,0.0006085771,0.0000567023,0.0000339378,0.0000720079,0.0002099418,0.0000304911,0.0000523064,0.0000935657,0.0000388918
35,0.0126994345,0.0043810554,0.0131831373,0.0195069919,0.003134403,0.0034040043,0.0063396401,0.001286362,0.0000873255,0.0000522436,0.0001101967,0.000308109,0.0000466962,0.0000784596,0.0001457506,0.0000583
36,0.0126994345,0.0043810554,0.0131831373,0.0195069919,0.003134403,0.0034040043,0.0063396401,0.001286362,0.0000873255,0.0000522436,0.0001101967,0.000308109,0.0000466962,0.0000784596,0.0001457506,0.0000583
37,0.0126994345,0.0043810554,0.0131831373,0.0195069919,0.003134403,0.0034040043,0.0063396401,0.001286362,0.0000873255,0.0000522436,0.0001101967,0.000308109,0.0000466962,0.0000784596,0.0001457506,0.0000583
38,0.0126994345,0.0043810554,0.0131831373,0.0195069919,0.003134403,0.0034040043,0.0063396401,0.001286362,0.0000873255,0.0000522436,0.0001101967,0.000308109,0.0000466962,0.0000784596,0.0001457506,0.0000583
39,0.0126994345,0.0043810554,0.0131831373,0.0195069919,0.003134403,0.0034040043,0.0063396401,0.001286362,0.0000873255,0.0000522436,0.0001101967,0.000308109,0.0000466962,0.0000784596,0.0001457506,0.0000583
40,0.0073669882,0.0010963228,0.0065988744,0.0060019637,0.0016209014,0.0016429485,0.0046574171,0.0006398951,0.000032628,8.4280517E-6,0.0000346299,0.0000646611,0.0000152958,0.0000252788,0.0000740342,0.0000200273
41,0.0073669882,0.0010963228,0.0065988744,0.0060019637,0.0016209014,0.0016429485,0.0046574171,0.0006398951,0.000032628,8.4280517E-6,0.0000346299,0.0000646611,0.0000152958,0.0000252788,0.0000740342,0.0000200273
42,0.0073669882,0.0010963228,0.0065988744,0.0060019637,0.0016209014,0.0016429485,0.0046574171,0.0006398951,0.000032628,8.4280517E-6,0.0000346299,0.0000646611,0.0000152958,0.0000252788,0.0000740342,0.0000200273
43,0.0073669882,0.0010963228,0.0065988744,0.0060019637,0.0016209014,0.0016429485,0.0046574171,0.0006398951,0.000032628,8.4280517E-6,0.0000346299,0.0000646611,0.0000152958,0.0000252788,0.0000740342,0.0000200273
44,0.0073669882,0.0010963228,0.0065988744,0.0060019637,0.0016209014,0.0016429485,0.0046574171,0.0006398951,0.000032628,8.4280517E-6,0.0000346299,0.0000646611,0.0000152958,0.0000252788,0.0000740342,0.0000200273
45,0.0147387223,0.0021135819,0.0128840719,0.0117663619,0.002983225,0.0032605554,0.0102419704,0.0014409852,0.0000459759,0.0000116055,0.0000469245,0.0000912947,0.0000200574,0.0000358564,0.0001195937,0.0000325646
46,0.0147387223,0.0021135819,0.0128840719,0.0117663619,0.002983225,0.0032605554,0.0102419704,0.0014409852,0.0000459759,0.0000116055,0.0000469245,0.0000912947,0.0000200574,0.0000358564,0.0001195937,0.0000325646
47,0.0147387223,0.0021135819,0.0128840719,0.0117663619,0.002983225,0.0032605554,0.0102419704,0.0014409852,0.0000459759,0.0000116055,0.0000469245,0.0000912947,0.0000200574,0.0000358564,0.0001195937,0.0000325646
