Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.000763469,0.0018995521,0.0013399104,0.0021642831,0.0007863044,0.0011234083,0.0008436656,0.0016027942,0.0000234914,0.0000655933,0.0000562371,0.0001446922,0.0000391206,0.0000733555,0.0000574712,0.0001280948
21,0.000763469,0.0018995521,0.0013399104,0.0021642831,0.0007863044,0.0011234083,0.0008436656,0.0016027942,0.0000234914,0.0000655933,0.0000562371,0.0001446922,0.0000391206,0.0000733555,0.0000574712,0.0001280948
22,0.000763469,0.0018995521,0.0013399104,0.0021642831,0.0007863044,0.0011234083,0.0008436656,0.0016027942,0.0000234914,0.0000655933,0.0000562371,0.0001446922,0.0000391206,0.0000733555,0.0000574712,0.0001280948
23,0.000763469,0.0018995521,0.0013399104,0.0021642831,0.0007863044,0.0011234083,0.0008436656,0.0016027942,0.0000234914,0.0000655933,0.0000562371,0.0001446922,0.0000391206,0.0000733555,0.0000574712,0.0001280948
24,0.000763469,0.0018995521,0.0013399104,0.0021642831,0.0007863044,0.0011234083,0.0008436656,0.0016027942,0.0000234914,0.0000655933,0.0000562371,0.0001446922,0.0000391206,0.0000733555,0.0000574712,0.0001280948
25,0.0012690438,0.003222793,0.0019316226,0.0047580068,0.0014071734,0.0020524973,0.0015571009,0.0023366036,0.0000311516,0.0000864467,0.0000694406,0.0002325323,0.0000533286,0.0001035965,0.0000792706,0.0001557736
26,0.0012690438,0.003222793,0.0019316226,0.0047580068,0.0014071734,0.0020524973,0.0015571009,0.0023366036,0.0000311516,0.0000864467,0.0000694406,0.0002325323,0.0000533286,0.0001035965,0.0000792706,0.0001557736
27,0.0012690438,0.003222793,0.0019316226,0.0047580068,0.0014071734,0.0020524973,0.0015571009,0.0023366036,0.0000311516,0.0000864467,0.0000694406,0.0002325323,0.0000533286,0.0001035965,0.0000792706,0.0001557736
28,0.0012690438,0.003222793,0.0019316226,0.0047580068,0.0014071734,0.0020524973,0.0015571009,0.0023366036,0.0000311516,0.0000864467,0.0000694406,0.0002325323,0.0000533286,0.0001035965,0.0000792706,0.0001557736
29,0.0012690438,0.003222793,0.0019316226,0.0047580068,0.0014071734,0.0020524973,0.0015571009,0.0023366036,0.0000311516,0.0000864467,0.0000694406,0.0002325323,0.0000533286,0.0001035965,0.0000792706,0.0001557736
