,X,riskfactor,unit of rr,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR,minage,note
1,1,fruit,100g/d,HSTK,30,-0.466348301,0.131250128,0.632710284,0.08332321,61.5,-0.314710745,25,
2,2,fruit,100g/d,HSTK,40,-0.44727698,0.125882652,0.644448312,0.081379592,61.5,-0.314710745,35,
3,3,fruit,100g/d,HSTK,50,-0.379438875,0.106790141,0.688154767,0.0736633,61.5,-0.314710745,45,
4,4,fruit,100g/d,HSTK,60,-0.314412414,0.088488946,0.733080021,0.064983129,61.5,-0.314710745,55,
5,5,fruit,100g/d,HSTK,70,-0.260788701,0.073396966,0.772520059,0.056774362,61.5,-0.314710745,65,
6,6,fruit,100g/d,HSTK,87.5,-0.14973267,0.036032997,0.8609381,0.03102218,61.5,-0.314710745,75,
7,1,fruit,100g/d,IHD,30,-0.087935232,0.027152855,0.916157482,0.024877026,60.2,-0.058117796,25,
8,2,fruit,100g/d,IHD,40,-0.084339119,0.026042439,0.919430895,0.023944687,60.2,-0.058117796,35,
9,3,fruit,100g/d,IHD,50,-0.07154748,0.022092605,0.931179044,0.020571954,60.2,-0.058117796,45,
10,4,fruit,100g/d,IHD,60,-0.059286007,0.018306478,0.942594947,0.017255072,60.2,-0.058117796,55,
11,5,fruit,100g/d,IHD,70,-0.049174651,0.015184269,0.952124483,0.014456739,60.2,-0.058117796,65,
12,6,fruit,100g/d,IHD,87.5,-0.028323567,0.007531258,0.972073785,0.007320938,60.2,-0.058117796,75,
13,1,fruit,100g/d,ISTK,30,-0.190831374,0.042684467,0.827023915,0.035294122,59.1,-0.127833372,25,
14,2,fruit,100g/d,ISTK,40,-0.183027322,0.040938885,0.833442568,0.03411328,59.1,-0.127833372,35,
15,3,fruit,100g/d,ISTK,50,-0.155267729,0.03472972,0.85670174,0.029746611,59.1,-0.127833372,45,
16,4,fruit,100g/d,ISTK,60,-0.128658672,0.028777903,0.879637744,0.025308756,59.1,-0.127833372,55,
17,5,fruit,100g/d,ISTK,70,-0.106715659,0.02386977,0.89903697,0.021455528,59.1,-0.127833372,65,
18,6,fruit,100g/d,ISTK,87.5,-0.061073689,0.011910794,0.940753914,0.011205126,59.1,-0.127833372,75,
19,1,nuts,1 oz/wk,DIAB,30,-0.05086187,0.014256825,0.950506395,0.013542799,59.5,-0.034815517,25,
20,2,nuts,1 oz/wk,DIAB,40,-0.048781873,0.013673792,0.952477761,0.01301621,59.5,-0.034815517,35,
21,3,nuts,1 oz/wk,DIAB,50,-0.04138317,0.0115999,0.959525889,0.011124703,59.5,-0.034815517,45,
22,4,nuts,1 oz/wk,DIAB,60,-0.034291115,0.009611963,0.966334742,0.009284388,59.5,-0.034815517,55,
23,5,nuts,1 oz/wk,DIAB,70,-0.028442692,0.007972622,0.971988846,0.007746516,59.5,-0.034815517,65,
24,6,nuts,1 oz/wk,DIAB,87.5,-0.01626955,0.003940716,0.983862084,0.003877121,59.5,-0.034815517,75,
25,1,nuts,1 oz/wk,IHD-FTL,30,-0.121916142,0.023133922,0.885459402,0.020504021,65.15,-0.068609211,25,
26,2,nuts,1 oz/wk,IHD-FTL,40,-0.116930379,0.022187859,0.889866042,0.019762497,65.15,-0.068609211,35,
27,3,nuts,1 oz/wk,IHD-FTL,50,-0.099195652,0.018822646,0.90572586,0.017061292,65.15,-0.068609211,45,
28,4,nuts,1 oz/wk,IHD-FTL,60,-0.082195964,0.015596909,0.921203411,0.014376929,65.15,-0.068609211,55,
29,5,nuts,1 oz/wk,IHD-FTL,70,-0.068177266,0.012936823,0.934172991,0.012091415,65.15,-0.068609211,65,
30,6,nuts,1 oz/wk,IHD-FTL,87.5,-0.03908445,0.006387834,0.961669493,0.006142985,65.15,-0.068609211,75,
31,1,om3,100mg/d,IHD-FTL,30,-0.240370768,0.058723997,0.78769196,0.046301211,62.1,-0.162518929,25,
32,2,om3,100mg/d,IHD-FTL,40,-0.230540802,0.056322478,0.795363348,0.044836764,62.1,-0.162518929,35,
33,3,om3,100mg/d,IHD-FTL,50,-0.195574882,0.047780097,0.82330008,0.039362657,62.1,-0.162518929,45,
34,4,om3,100mg/d,IHD-FTL,60,-0.162058173,0.039591768,0.851057837,0.033709806,62.1,-0.162518929,55,
35,5,om3,100mg/d,IHD-FTL,70,-0.134418803,0.032839307,0.874694912,0.028733152,62.1,-0.162518929,65,
36,6,om3,100mg/d,IHD-FTL,87.5,-0.077126463,0.01624626,0.92577277,0.015040345,62.1,-0.162518929,75,
37,1,pmeat,50g/d,DIAB,30,0.609413249,0.147552266,1.85943149,0.275506291,60.2,0.412109651,25,
38,2,pmeat,50g/d,DIAB,40,0.584491285,0.141518114,1.812087302,0.257392016,60.2,0.412109651,35,
39,3,pmeat,50g/d,DIAB,50,0.495842008,0.120054186,1.653726678,0.198983874,60.2,0.412109651,45,
40,4,pmeat,50g/d,DIAB,60,0.410866922,0.099479861,1.515589044,0.150946489,60.2,0.412109651,55,
41,5,pmeat,50g/d,DIAB,70,0.340792685,0.082513357,1.410846687,0.116471026,60.2,0.412109651,65,
42,6,pmeat,50g/d,DIAB,87.5,0.195890543,0.040802218,1.216393755,0.049631563,60.2,0.412109651,75,
43,1,pmeat,50g/d,IHD,30,0.466861245,0.158373405,1.615085346,0.25746762,64.9,0.31481074,25,
