Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.001324546,0.000450372,0.001261573,0.002096376,0.000460416,0.000616528,0.001125208,0.000330819,2.74E-06,1.64E-06,3.49E-06,9.12E-06,2.15E-06,4.93E-06,5.59E-06,3.24E-06
21,0.001324546,0.000450372,0.001261573,0.002096376,0.000460416,0.000616528,0.001125208,0.000330819,2.74E-06,1.64E-06,3.49E-06,9.12E-06,2.15E-06,4.93E-06,5.59E-06,3.24E-06
22,0.001324546,0.000450372,0.001261573,0.002096376,0.000460416,0.000616528,0.001125208,0.000330819,2.74E-06,1.64E-06,3.49E-06,9.12E-06,2.15E-06,4.93E-06,5.59E-06,3.24E-06
23,0.001324546,0.000450372,0.001261573,0.002096376,0.000460416,0.000616528,0.001125208,0.000330819,2.74E-06,1.64E-06,3.49E-06,9.12E-06,2.15E-06,4.93E-06,5.59E-06,3.24E-06
24,0.001324546,0.000450372,0.001261573,0.002096376,0.000460416,0.000616528,0.001125208,0.000330819,2.74E-06,1.64E-06,3.49E-06,9.12E-06,2.15E-06,4.93E-06,5.59E-06,3.24E-06
25,0.001378551,0.000545293,0.001354099,0.002337514,0.000562594,0.000835264,0.001068681,0.000359448,2.88E-06,1.83E-06,3.71E-06,1.04E-05,2.41E-06,6.01E-06,5.51E-06,3.41E-06
26,0.001378551,0.000545293,0.001354099,0.002337514,0.000562594,0.000835264,0.001068681,0.000359448,2.88E-06,1.83E-06,3.71E-06,1.04E-05,2.41E-06,6.01E-06,5.51E-06,3.41E-06
27,0.001378551,0.000545293,0.001354099,0.002337514,0.000562594,0.000835264,0.001068681,0.000359448,2.88E-06,1.83E-06,3.71E-06,1.04E-05,2.41E-06,6.01E-06,5.51E-06,3.41E-06
28,0.001378551,0.000545293,0.001354099,0.002337514,0.000562594,0.000835264,0.001068681,0.000359448,2.88E-06,1.83E-06,3.71E-06,1.04E-05,2.41E-06,6.01E-06,5.51E-06,3.41E-06
29,0.001378551,0.000545293,0.001354099,0.002337514,0.000562594,0.000835264,0.001068681,0.000359448,2.88E-06,1.83E-06,3.71E-06,1.04E-05,2.41E-06,6.01E-06,5.51E-06,3.41E-06
30,0.001449718,0.0007045,0.00144831,0.002440534,0.000725794,0.001140269,0.001083984,0.000436097,2.97E-06,2.08E-06,3.83E-06,1.10E-05,2.73E-06,7.14E-06,5.71E-06,3.79E-06
31,0.001449718,0.0007045,0.00144831,0.002440534,0.000725794,0.001140269,0.001083984,0.000436097,2.97E-06,2.08E-06,3.83E-06,1.10E-05,2.73E-06,7.14E-06,5.71E-06,3.79E-06
32,0.001449718,0.0007045,0.00144831,0.002440534,0.000725794,0.001140269,0.001083984,0.000436097,2.97E-06,2.08E-06,3.83E-06,1.10E-05,2.73E-06,7.14E-06,5.71E-06,3.79E-06
33,0.001449718,0.0007045,0.00144831,0.002440534,0.000725794,0.001140269,0.001083984,0.000436097,2.97E-06,2.08E-06,3.83E-06,1.10E-05,2.73E-06,7.14E-06,5.71E-06,3.79E-06
34,0.001449718,0.0007045,0.00144831,0.002440534,0.000725794,0.001140269,0.001083984,0.000436097,2.97E-06,2.08E-06,3.83E-06,1.10E-05,2.73E-06,7.14E-06,5.71E-06,3.79E-06
35,0.001715837,0.000986502,0.001716124,0.002810163,0.001001723,0.001641409,0.001267729,0.000598525,3.23E-06,2.44E-06,4.08E-06,1.19E-05,3.13E-06,8.55E-06,6.47E-06,4.59E-06
36,0.001715837,0.000986502,0.001716124,0.002810163,0.001001723,0.001641409,0.001267729,0.000598525,3.23E-06,2.44E-06,4.08E-06,1.19E-05,3.13E-06,8.55E-06,6.47E-06,4.59E-06
37,0.001715837,0.000986502,0.001716124,0.002810163,0.001001723,0.001641409,0.001267729,0.000598525,3.23E-06,2.44E-06,4.08E-06,1.19E-05,3.13E-06,8.55E-06,6.47E-06,4.59E-06
38,0.001715837,0.000986502,0.001716124,0.002810163,0.001001723,0.001641409,0.001267729,0.000598525,3.23E-06,2.44E-06,4.08E-06,1.19E-05,3.13E-06,8.55E-06,6.47E-06,4.59E-06
39,0.001715837,0.000986502,0.001716124,0.002810163,0.001001723,0.001641409,0.001267729,0.000598525,3.23E-06,2.44E-06,4.08E-06,1.19E-05,3.13E-06,8.55E-06,6.47E-06,4.59E-06
40,0.002286545,0.001458738,0.002284602,0.003574053,0.001463525,0.002394376,0.00170408,0.000893219,3.66E-06,2.90E-06,4.49E-06,1.32E-05,3.60E-06,1.02E-05,7.96E-06,5.88E-06
41,0.002286545,0.001458738,0.002284602,0.003574053,0.001463525,0.002394376,0.00170408,0.000893219,3.66E-06,2.90E-06,4.49E-06,1.32E-05,3.60E-06,1.02E-05,7.96E-06,5.88E-06
42,0.002286545,0.001458738,0.002284602,0.003574053,0.001463525,0.002394376,0.00170408,0.000893219,3.66E-06,2.90E-06,4.49E-06,1.32E-05,3.60E-06,1.02E-05,7.96E-06,5.88E-06
43,0.002286545,0.001458738,0.002284602,0.003574053,0.001463525,0.002394376,0.00170408,0.000893219,3.66E-06,2.90E-06,4.49E-06,1.32E-05,3.60E-06,1.02E-05,7.96E-06,5.88E-06
44,0.002286545,0.001458738,0.002284602,0.003574053,0.001463525,0.002394376,0.00170408,0.000893219,3.66E-06,2.90E-06,4.49E-06,1.32E-05,3.60E-06,1.02E-05,7.96E-06,5.88E-06
45,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
46,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
47,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
48,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
49,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
