Time,ssb,ssb.se,added_sugar,added_sugar.se,sodium,sodium.se,kcal,kcal.se,sfat,sfat.se,fruit,fruit.se,veg,veg.se
1,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
2,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
3,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
4,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
5,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
6,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
7,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
8,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
9,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
10,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
11,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
12,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
13,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
14,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
15,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
16,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
17,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
18,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
19,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
20,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
21,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
